var,mean,sd,state
A[161],45.0,1.827,
A[162],52.599,0.776,
A[163],54.834,0.946,
A[164],52.779,0.767,
A[165],51.273,0.729,
A[166],48.739,1.292,
A[167],51.632,0.834,
A[168],48.159,1.749,
A[169],52.277,0.787,
A[170],51.63,0.712,
A[171],50.827,0.739,
A[172],51.333,0.725,
A[173],51.414,0.701,
A[174],51.034,0.739,
A[175],51.115,0.72,
A[176],61.225,1.625,
A[177],60.935,1.639,
A[178],51.351,0.724,
A[179],53.63,0.866,
A[180],53.928,0.869,
A[181],53.512,0.856,
A[182],52.639,0.771,
A[183],51.901,0.708,
A[184],51.414,0.701,
A[185],52.575,0.909,
A[186],53.499,0.969,
A[187],52.511,1.041,
A[188],53.214,0.999,
A[189],51.984,0.799,
A[190],51.487,0.78,
A[191],52.318,0.75,
A[192],52.047,0.767,
A[193],51.55,0.752,
A[194],52.38,0.72,
A[195],51.685,0.806,
A[196],51.189,0.79,
A[197],52.019,0.756,
A[198],51.748,0.779,
A[199],51.252,0.767,
A[200],52.082,0.731,
A[201],52.035,0.833,
A[202],40.132,2.223,
A[203],53.031,2.264,
A[204],40.415,2.221,
A[205],53.329,2.242,
A[206],51.414,0.793,
A[207],51.764,0.774,
A[208],50.927,0.791,
A[209],51.115,0.802,
A[210],51.465,0.78,
A[211],50.628,0.802,
A[212],55.383,0.998,
A[213],55.169,1.245,
A[214],55.368,0.976,
A[215],55.386,0.963,
A[216],55.452,0.94,
A[217],55.088,0.963,
A[218],55.154,0.944,
A[219],52.966,0.756,
A[220],53.283,0.774,
A[221],51.694,0.739,
A[222],51.984,0.823,
A[223],52.685,0.785,
A[224],52.043,0.706,
A[225],51.207,0.738,
A[226],53.264,0.749,
A[227],53.582,0.762,
A[228],51.993,0.726,
A[229],52.282,0.805,
A[230],52.984,0.776,
A[231],52.342,0.696,
A[232],51.506,0.723,
A[233],60.978,1.64,
A[234],39.685,1.611,
A[235],51.838,0.821,
A[236],52.137,0.805,
A[237],51.862,0.69,
A[238],53.567,0.954,
A[239],51.807,0.776,
A[240],52.106,0.782,
A[241],53.455,0.971,
A[242],54.487,1.133,
A[243],60.496,1.677,
A[244],50.965,0.77,
A[245],51.037,0.736,
A[246],50.667,0.766,
A[247],50.738,0.736,
A[248],52.205,0.655,
A[249],51.906,0.671,
A[250],42.841,1.763,
A[251],52.251,0.658,
A[252],51.953,0.672,
A[253],51.432,1.045,
A[254],53.249,0.812,
A[255],53.564,0.828,
A[256],52.966,0.854,
A[257],52.26,0.872,
A[258],53.312,0.784,
A[259],53.626,0.8,
A[260],53.029,0.821,
A[261],52.323,0.844,
A[262],52.95,0.815,
A[263],53.265,0.836,
A[264],52.667,0.859,
A[265],51.961,0.885,
A[266],53.013,0.791,
A[267],53.328,0.812,
A[268],52.73,0.83,
A[269],52.024,0.862,
A[270],52.27,0.663,
A[271],51.924,0.708,
A[272],53.525,0.739,
A[273],53.202,0.732,
A[274],52.914,0.758,
A[275],51.437,0.703,
A[276],52.218,0.791,
A[277],52.593,0.775,
A[278],54.76,0.952,
A[279],52.881,0.766,
A[280],51.329,0.738,
A[281],48.753,1.294,
A[282],51.617,0.83,
A[283],48.168,1.75,
A[284],52.303,0.791,
A[285],51.611,0.708,
A[286],50.856,0.748,
A[287],51.634,1.17,
A[288],52.815,0.759,
A[289],52.903,0.741,
A[290],51.957,1.178,
A[291],53.126,0.768,
A[292],53.226,0.754,
A[293],50.357,1.142,
A[294],51.537,0.746,
A[295],51.625,0.723,
A[296],50.651,1.205,
A[297],51.826,0.83,
A[298],51.92,0.811,
A[299],51.346,1.19,
A[300],52.527,0.792,
A[301],52.615,0.768,
A[302],50.703,1.124,
A[303],51.887,0.691,
A[304],51.971,0.675,
A[305],49.871,1.14,
A[306],51.05,0.737,
A[307],51.138,0.72,
A[308],39.371,1.452,
A[309],48.573,1.471,
A[310],52.251,0.658,
A[311],47.868,1.862,
A[312],50.189,1.033,
A[313],49.891,1.052,
A[314],53.086,0.79,
A[315],51.807,0.776,
A[316],52.798,0.834,
A[317],52.158,0.749,
A[318],51.32,0.773,
A[319],53.384,0.801,
A[320],52.106,0.782,
A[321],53.096,0.842,
A[322],52.457,0.758,
A[323],51.619,0.777,
A[324],47.927,1.545,
A[325],48.223,1.561,
A[326],33.765,3.11,
A[327],34.026,3.131,
A[328],45.495,2.352,
A[329],39.015,2.206,
A[330],51.847,2.264,
A[331],45.788,2.363,
A[332],39.298,2.204,
A[333],52.148,2.243,
A[334],55.268,1.143,
A[335],44.281,1.86,
A[336],48.076,1.914,
A[337],52.275,0.833,
A[338],62.766,1.964,
A[339],63.052,1.962,
A[340],51.228,0.942,
A[341],55.76,1.362,
A[342],58.115,2.085,
A[343],52.364,0.8,
A[344],48.618,1.786,
A[345],48.321,1.775,
A[346],50.176,1.32,
A[347],52.223,1.016,
A[348],52.306,0.973,
A[349],39.845,1.334,
A[350],51.455,0.775,
A[351],51.579,0.734,
