var,mean,sd,state
A[975],51.178,0.711,
A[976],63.503,1.953,
A[977],53.851,0.943,
A[978],51.937,0.664,
A[979],51.639,0.674,
A[980],52.874,0.739,
A[981],53.185,0.742,
A[982],51.607,0.718,
A[983],51.908,0.803,
A[984],52.586,0.765,
A[985],51.946,0.663,
A[986],51.109,0.712,
A[987],55.144,0.963,
A[988],55.045,1.0,
A[989],55.738,1.121,
A[990],55.842,1.091,
A[991],56.294,1.254,
A[992],56.399,1.206,
A[993],56.474,1.202,
A[994],56.412,1.239,
A[995],55.332,1.044,
A[996],55.034,1.038,
A[997],56.014,1.181,
A[998],55.717,1.184,
A[999],61.092,1.638,
A[1000],60.801,1.647,
A[1001],61.153,1.623,
A[1002],60.863,1.634,
A[1003],51.389,0.757,
A[1004],39.317,1.457,
A[1005],53.449,0.929,
A[1006],53.76,0.931,
A[1007],52.171,0.919,
A[1008],52.46,0.992,
A[1009],53.161,0.942,
A[1010],52.521,0.863,
A[1011],51.684,0.902,
A[1012],51.529,0.761,
A[1013],51.656,0.726,
A[1014],51.23,0.747,
A[1015],51.357,0.714,
A[1016],51.642,0.716,
A[1017],51.155,0.709,
A[1018],61.207,1.895,
A[1019],52.606,0.773,
A[1020],52.916,0.789,
A[1021],51.327,0.761,
A[1022],52.318,0.804,
A[1023],51.616,0.845,
A[1024],51.678,0.718,
A[1025],50.84,0.751,
A[1026],52.904,0.774,
A[1027],53.215,0.785,
A[1028],51.626,0.757,
A[1029],52.616,0.803,
A[1030],51.915,0.835,
A[1031],51.977,0.716,
A[1032],51.139,0.745,
A[1033],61.631,1.946,
A[1034],53.781,1.019,
A[1035],54.092,1.036,
A[1036],52.503,1.013,
A[1037],52.792,1.08,
A[1038],52.854,0.979,
A[1039],52.016,0.993,
A[1040],57.859,2.083,
A[1041],39.128,1.457,
A[1042],50.619,0.951,
A[1043],48.035,1.466,
A[1044],52.642,0.779,
A[1045],51.38,0.721,
A[1046],52.021,0.766,
A[1047],51.722,0.768,
A[1048],52.084,0.729,
A[1049],51.785,0.735,
A[1050],53.023,0.793,
A[1051],52.724,0.796,
A[1052],52.96,0.829,
A[1053],52.661,0.827,
A[1054],55.394,1.014,
A[1055],51.852,0.747,
A[1056],52.753,0.794,
A[1057],41.951,1.805,
A[1058],53.54,0.942,
A[1059],55.018,1.135,
A[1060],55.867,1.168,
A[1061],35.958,2.08,
A[1062],51.702,1.006,
A[1063],51.602,0.681,
A[1064],51.25,0.819,
A[1065],63.578,2.403,
A[1066],63.689,2.392,
A[1067],51.901,0.669,
A[1068],35.987,1.416,
A[1069],51.549,0.787,
A[1070],51.847,0.797,
A[1071],41.765,2.364,
A[1072],53.253,0.971,
A[1073],52.551,1.011,
A[1074],53.169,0.774,
A[1075],51.653,0.844,
A[1076],56.165,2.225,
A[1077],56.461,2.216,
A[1078],63.244,1.951,
A[1079],62.958,1.959,
A[1080],63.171,1.945,
A[1081],62.885,1.952,
A[1082],42.481,1.756,
A[1083],40.045,1.379,
A[1084],52.206,0.778,
A[1085],54.568,0.961,
A[1086],52.635,0.777,
A[1087],51.035,0.736,
A[1088],48.48,1.296,
A[1089],51.288,0.831,
A[1090],47.927,1.75,
A[1091],52.04,0.793,
A[1092],51.16,0.764,
A[1093],50.558,0.741,
A[1094],52.914,0.845,
A[1095],52.384,0.843,
A[1096],53.212,0.833,
A[1097],52.683,0.836,
A[1098],51.2,0.74,
A[1099],48.623,1.576,
A[1100],54.911,1.243,
A[1101],62.884,2.402,
A[1102],36.876,1.987,
A[1103],51.393,0.732,
A[1104],51.691,0.724,
A[1105],52.619,0.789,
A[1106],52.848,0.772,
A[1107],36.674,1.342,
A[1108],51.245,0.747,
A[1109],51.666,0.845,
A[1110],52.233,0.801,
A[1111],56.084,1.229,
A[1112],51.518,0.737,
A[1113],55.307,1.19,
A[1114],50.883,0.757,
A[1115],50.664,0.759,
A[1116],43.18,1.778,
A[1117],52.38,0.774,
A[1118],51.15,0.759,
A[1119],52.278,0.838,
A[1120],43.142,1.777,
A[1121],48.281,2.905,
A[1122],55.073,1.133,
A[1123],54.76,1.009,
A[1124],57.352,3.305,
A[1125],52.208,0.999,
A[1126],52.956,0.758,
A[1127],51.194,0.767,
A[1128],51.545,0.749,
A[1129],50.708,0.768,
A[1130],51.194,0.767,
A[1131],51.545,0.749,
A[1132],50.708,0.768,
A[1133],52.779,0.812,
A[1134],52.893,0.775,
A[1135],52.481,0.803,
A[1136],52.594,0.767,
B[0],44.425,2.644,
B[1],50.24,2.667,
B[2],46.001,1.88,
B[3],47.113,1.585,
B[4],50.195,1.034,
B[5],49.891,1.03,
B[6],51.475,1.018,
B[7],51.185,1.082,
B[8],51.121,1.01,
B[9],51.959,1.029,
B[10],50.132,1.041,
B[11],49.828,1.036,
B[12],51.413,1.022,
B[13],51.122,1.087,
B[14],51.058,1.018,
B[15],51.896,1.037,
B[16],63.285,1.58,
B[17],48.108,1.228,
B[18],51.706,0.859,
B[19],51.067,0.909,
B[20],50.468,0.878,
B[21],51.768,0.955,
B[22],50.779,0.894,
B[23],52.544,0.894,
B[24],47.86,1.324,
B[25],51.455,0.822,
B[26],51.144,0.8,
B[27],52.712,0.782,
B[28],52.366,0.882,
B[29],51.721,0.826,
B[30],52.386,0.801,
B[31],53.196,0.806,
B[32],55.643,1.381,
B[33],52.772,0.826,
B[34],52.219,0.783,
B[35],52.156,0.762,
B[36],54.258,1.143,
B[37],54.195,1.136,
B[38],52.518,0.794,
B[39],52.455,0.779,
B[40],54.556,1.161,
B[41],54.493,1.156,
B[42],51.005,0.738,
B[43],61.77,1.83,
B[44],48.988,0.946,
B[45],54.44,1.103,
B[46],51.031,0.756,
B[47],50.947,0.747,
B[48],51.329,0.771,
B[49],51.245,0.766,
B[50],50.961,0.778,
B[51],50.891,0.77,
B[52],51.26,0.791,
B[53],51.19,0.787,
B[54],54.351,1.1,
B[55],54.272,1.1,
B[56],54.65,1.119,
B[57],54.57,1.121,
B[58],54.278,1.117,
B[59],54.207,1.118,
B[60],54.576,1.134,
B[61],54.505,1.138,
B[62],52.243,0.717,
B[63],52.305,0.823,
B[64],51.316,0.742,
B[65],52.406,0.792,
B[66],52.762,0.785,
B[67],52.544,0.754,
B[68],52.893,0.755,
B[69],53.376,0.776,
B[70],59.147,1.887,
B[71],55.185,1.486,
B[72],50.948,0.8,
B[73],51.172,0.804,
B[74],52.444,0.791,
B[75],52.086,0.805,
B[76],52.927,0.809,
B[77],52.174,0.734,
B[78],51.504,0.792,
B[79],51.754,0.829,
B[80],50.912,0.76,
B[81],51.21,0.777,
B[82],51.934,0.824,
B[83],51.378,0.756,
B[84],51.068,0.753,
B[85],52.657,0.74,
B[86],53.154,0.758,
B[87],52.318,0.73,
B[88],51.677,0.766,
B[89],51.367,0.769,
B[90],52.956,0.756,
B[91],53.453,0.776,
B[92],52.617,0.743,
B[93],58.017,2.324,
B[94],57.722,2.333,
B[95],55.651,1.485,
B[96],55.353,1.498,
B[97],56.022,1.428,
B[98],51.883,0.772,
B[99],49.567,0.953,
B[100],51.728,0.769,
B[101],53.162,0.732,
B[102],55.742,1.323,
B[103],52.855,0.848,
B[104],52.188,0.768,
B[105],52.89,0.749,
B[106],53.651,0.765,
B[107],52.584,0.812,
B[108],61.398,1.842,
B[109],52.058,0.995,
B[110],52.306,0.73,
B[111],52.605,0.743,
B[112],55.644,1.354,
B[113],53.5,0.789,
B[114],53.201,0.77,
B[115],52.66,0.749,
B[116],52.361,0.734,
B[117],55.608,1.401,
B[118],55.311,1.388,
B[119],53.005,0.769,
B[120],52.706,0.752,
B[121],50.999,0.763,
B[122],64.505,1.434,
B[123],64.741,1.444,
B[124],48.982,0.947,
B[125],52.496,0.742,
B[126],64.694,1.431,
B[127],52.014,0.784,
B[128],51.702,0.773,
B[129],53.27,0.751,
B[130],52.922,0.865,
B[131],52.279,0.791,
B[132],52.942,0.768,
B[133],53.755,0.777,
B[134],51.715,0.792,
B[135],51.403,0.775,
B[136],52.971,0.754,
B[137],52.623,0.863,
B[138],51.98,0.797,
B[139],52.643,0.774,
B[140],53.456,0.778,
B[141],51.178,0.803,
B[142],52.107,0.799,
B[143],50.877,0.805,
B[144],55.851,2.866,
B[145],56.147,2.867,
B[146],54.98,1.462,
B[147],55.278,1.439,
B[148],52.236,0.746,
B[149],51.064,0.795,
B[150],52.342,0.776,
B[151],52.053,0.868,
B[152],51.992,0.799,
B[153],52.829,0.799,
B[154],47.708,1.282,
B[155],47.412,1.266,
B[156],51.008,0.738,
B[157],51.639,0.921,
B[158],51.938,0.951,
B[159],52.368,0.788,
B[160],59.332,1.878,
B[161],59.625,1.886,
B[162],52.025,0.759,
B[163],49.79,0.936,
B[164],51.845,0.754,
B[165],53.351,0.718,
B[166],55.885,1.317,
B[167],52.992,0.841,
B[168],56.466,1.765,
B[169],52.348,0.755,
B[170],52.994,0.742,
B[171],53.798,0.753,
B[172],53.291,0.754,
B[173],53.211,0.736,
B[174],53.59,0.77,
B[175],53.509,0.757,
B[176],43.399,1.606,
B[177],43.689,1.621,
B[178],53.273,0.752,
B[179],50.995,0.839,
B[180],50.696,0.84,
B[181],51.113,0.828,
B[182],51.985,0.757,
B[183],52.723,0.714,
B[184],53.21,0.736,
B[185],52.049,0.958,
B[186],51.125,0.982,
B[187],52.113,1.072,
B[188],51.411,0.999,
B[189],52.64,0.791,
B[190],53.137,0.799,
B[191],52.307,0.783,
B[192],52.577,0.764,
B[193],53.074,0.777,
B[194],52.244,0.76,
B[195],52.939,0.802,
B[196],53.436,0.811,
B[197],52.605,0.792,
B[198],52.876,0.779,
B[199],53.373,0.794,
B[200],52.543,0.773,
B[201],52.59,0.822,
B[202],64.492,2.263,
B[203],51.594,2.279,
B[204],64.21,2.26,
B[205],51.295,2.256,
B[206],53.211,0.794,
B[207],52.86,0.814,
B[208],53.698,0.817,
B[209],53.509,0.805,
B[210],53.159,0.822,
B[211],53.996,0.83,
B[212],49.241,0.994,
B[213],49.455,1.198,
B[214],49.256,0.961,
B[215],49.238,0.964,
B[216],49.172,0.945,
B[217],49.536,0.966,
B[218],49.47,0.951,
B[219],51.659,0.756,
B[220],51.341,0.771,
B[221],52.93,0.742,
B[222],52.641,0.846,
B[223],51.939,0.768,
B[224],52.581,0.752,
B[225],53.417,0.768,
B[226],51.36,0.747,
B[227],51.042,0.755,
B[228],52.632,0.727,
B[229],52.342,0.827,
B[230],51.64,0.756,
B[231],52.282,0.739,
B[232],53.118,0.751,
B[233],43.646,1.617,
B[234],64.939,1.694,
B[235],52.786,0.872,
B[236],52.487,0.854,
B[237],52.763,0.738,
B[238],51.057,0.964,
B[239],52.817,0.758,
B[240],52.518,0.762,
B[241],51.169,0.997,
B[242],50.137,1.142,
B[243],44.128,1.656,
B[244],53.659,0.781,
B[245],53.587,0.753,
B[246],53.958,0.78,
B[247],53.886,0.756,
B[248],52.419,0.71,
B[249],52.718,0.727,
B[250],61.784,1.831,
B[251],52.373,0.71,
B[252],52.672,0.725,
B[253],53.193,1.088,
B[254],51.375,0.803,
B[255],51.061,0.815,
B[256],51.658,0.829,
B[257],52.364,0.886,
B[258],51.312,0.779,
B[259],50.998,0.791,
B[260],51.595,0.8,
B[261],52.302,0.863,
B[262],51.674,0.808,
B[263],51.359,0.826,
B[264],51.957,0.836,
B[265],52.663,0.901,
B[266],51.611,0.789,
B[267],51.297,0.807,
B[268],51.894,0.812,
B[269],52.6,0.883,
B[270],52.354,0.713,
B[271],52.701,0.713,
B[272],51.1,0.736,
B[273],51.422,0.734,
B[274],51.71,0.742,
B[275],53.187,0.736,
B[276],52.406,0.817,
B[277],52.031,0.758,
B[278],49.865,0.946,
B[279],51.744,0.747,
B[280],53.295,0.723,
B[281],55.871,1.318,
B[282],53.007,0.838,
B[283],56.456,1.766,
B[284],52.321,0.758,
B[285],53.013,0.74,
B[286],53.768,0.76,
B[287],52.99,1.168,
B[288],51.809,0.759,
B[289],51.721,0.745,
B[290],52.668,1.173,
B[291],51.498,0.764,
B[292],51.398,0.753,
B[293],54.268,1.141,
B[294],53.088,0.75,
B[295],52.999,0.731,
B[296],53.973,1.219,
B[297],52.799,0.854,
B[298],52.705,0.839,
B[299],53.278,1.177,
B[300],52.097,0.776,
B[301],52.009,0.755,
B[302],53.921,1.151,
B[303],52.737,0.738,
B[304],52.653,0.727,
B[305],54.753,1.158,
B[306],53.575,0.768,
B[307],53.486,0.756,
B[308],65.254,1.529,
B[309],56.051,1.428,
B[310],52.373,0.71,
B[311],56.756,1.89,
B[312],54.435,1.09,
B[313],54.733,1.111,
B[314],51.539,0.769,
B[315],52.817,0.758,
B[316],51.827,0.799,
B[317],52.466,0.772,
B[318],53.304,0.782,
B[319],51.24,0.778,
B[320],52.518,0.762,
B[321],51.528,0.805,
B[322],52.168,0.777,
B[323],53.005,0.783,
B[324],56.698,1.515,
B[325],56.401,1.531,
B[326],70.859,3.215,
B[327],70.598,3.234,
B[328],59.13,2.362,
B[329],65.609,2.25,
B[330],52.778,2.283,
B[331],58.836,2.372,
B[332],65.327,2.247,
B[333],52.477,2.261,
B[334],49.357,1.094,
B[335],60.343,1.92,
B[336],56.548,1.931,
B[337],52.349,0.822,
B[338],41.858,1.907,
B[339],41.572,1.904,
B[340],53.396,0.987,
B[341],48.864,1.359,
B[342],46.509,2.043,
B[343],52.26,0.792,
B[344],56.007,1.809,
B[345],56.304,1.8,
B[346],54.449,1.382,
B[347],52.402,1.072,
B[348],52.318,1.034,
B[349],64.78,1.42,
B[350],53.169,0.759,
B[351],53.046,0.719,
B[352],53.468,0.756,
B[353],53.344,0.718,
B[354],48.621,1.108,
B[355],48.323,1.111,
B[356],49.328,0.981,
B[357],49.03,0.995,
B[358],52.05,0.832,
B[359],52.348,0.841,
B[360],67.464,1.466,
B[361],67.19,1.465,
B[362],51.655,1.043,
B[363],51.256,0.815,
B[364],52.533,0.892,
B[365],53.746,0.967,
B[366],51.856,0.769,
B[367],51.558,0.76,
B[368],51.546,0.771,
B[369],51.247,0.755,
B[370],52.849,0.867,
B[371],52.55,0.848,
B[372],52.141,0.785,
B[373],51.842,0.774,
B[374],46.011,2.046,
B[375],51.426,0.733,
B[376],51.134,0.732,
B[377],52.723,0.714,
B[378],52.408,0.709,
B[379],52.52,0.843,
B[380],51.727,0.741,
B[381],53.222,0.737,
B[382],52.77,0.769,
B[383],52.42,0.79,
B[384],53.257,0.794,
B[385],52.472,0.773,
B[386],52.121,0.797,
B[387],52.959,0.796,
B[388],49.776,0.963,
B[389],49.664,0.937,
B[390],50.712,0.934,
B[391],51.01,0.962,
B[392],50.401,0.936,
B[393],50.7,0.968,
B[394],51.0,0.95,
B[395],51.298,0.978,
B[396],51.639,0.921,
B[397],51.938,0.951,
B[398],52.477,0.935,
B[399],52.776,0.968,
B[400],52.144,0.777,
B[401],51.845,0.788,
B[402],52.074,0.754,
B[403],51.775,0.761,
B[404],51.832,0.768,
B[405],51.533,0.772,
B[406],51.754,0.745,
B[407],51.455,0.745,
B[408],53.398,0.745,
B[409],53.099,0.751,
B[410],53.323,0.718,
B[411],53.025,0.721,
B[412],53.05,0.863,
B[413],52.751,0.863,
B[414],52.979,0.844,
B[415],52.681,0.841,
B[416],52.407,0.784,
B[417],52.108,0.793,
B[418],52.332,0.756,
B[419],52.033,0.762,
B[420],53.071,0.763,
B[421],52.772,0.771,
B[422],52.998,0.742,
B[423],52.699,0.746,
B[424],53.885,0.771,
B[425],53.586,0.774,
B[426],53.809,0.751,
B[427],53.511,0.75,
B[428],48.283,1.166,
B[429],41.493,2.358,
B[430],59.655,3.234,
B[431],52.713,0.808,
B[432],52.414,0.812,
B[433],52.017,0.761,
B[434],49.761,0.938,
B[435],51.745,0.746,
B[436],53.349,0.718,
B[437],55.859,1.32,
B[438],52.997,0.84,
B[439],56.465,1.765,
B[440],52.371,0.755,
B[441],53.071,0.743,
B[442],53.815,0.75,
B[443],41.907,4.361,
B[444],52.701,0.827,
B[445],52.402,0.826,
B[446],55.768,1.349,
B[447],52.589,0.953,
B[448],52.104,0.949,
B[449],51.751,0.926,
B[450],51.733,0.742,
B[451],51.134,0.732,
B[452],52.434,0.818,
B[453],51.445,0.733,
B[454],52.756,1.009,
B[455],50.137,1.142,
B[456],49.455,1.198,
B[457],43.471,1.875,
B[458],56.488,1.897,
B[459],65.088,1.568,
B[460],47.896,1.406,
B[461],67.294,1.483,
B[462],52.06,0.761,
B[463],52.713,0.808,
B[464],52.833,1.019,
B[465],52.507,1.025,
B[466],54.117,0.996,
B[467],53.809,1.091,
B[468],53.785,1.008,
B[469],54.665,1.037,
B[470],46.534,4.298,
B[471],52.952,0.736,
B[472],52.628,0.733,
B[473],53.444,0.761,
B[474],43.309,1.599,
B[475],47.472,2.304,
B[476],52.42,0.798,
B[477],52.762,0.796,
B[478],53.25,0.81,
B[479],51.768,0.837,
B[480],51.171,0.81,
B[481],51.48,0.805,
B[482],52.465,0.89,
B[483],64.416,1.465,
B[484],49.249,0.955,
B[485],48.575,1.032,
B[486],48.009,1.191,
B[487],49.381,1.102,
B[488],49.083,1.089,
B[489],52.023,0.796,
B[490],51.945,0.762,
B[491],52.322,0.785,
B[492],52.244,0.754,
B[493],53.412,0.776,
B[494],53.061,0.777,
B[495],53.868,0.794,
B[496],52.901,0.824,
B[497],51.9,0.768,
B[498],51.82,0.743,
B[499],51.291,0.759,
B[500],51.209,0.743,
B[501],54.066,1.223,
B[502],54.902,1.215,
B[503],54.416,1.196,
B[504],52.87,0.778,
B[505],53.707,0.794,
B[506],53.22,0.767,
B[507],54.364,1.197,
B[508],55.2,1.192,
B[509],54.714,1.171,
B[510],53.169,0.794,
B[511],54.006,0.814,
B[512],53.519,0.785,
B[513],52.328,0.786,
B[514],51.934,0.76,
B[515],58.371,2.891,
B[516],50.135,1.341,
B[517],51.74,0.778,
B[518],67.864,1.444,
B[519],53.321,0.764,
B[520],55.708,1.317,
B[521],52.833,0.838,
B[522],52.331,0.798,
B[523],48.484,1.226,
B[524],53.097,0.853,
B[525],49.396,1.326,
B[526],54.941,1.109,
B[527],53.638,0.751,
B[528],51.498,0.811,
B[529],52.09,0.819,
B[530],51.199,0.796,
B[531],51.791,0.807,
B[532],54.935,1.111,
B[533],54.637,1.091,
B[534],54.998,1.117,
B[535],54.7,1.1,
B[536],52.201,0.751,
B[537],50.033,0.963,
B[538],51.843,0.754,
B[539],53.431,0.721,
B[540],56.032,1.315,
B[541],53.175,0.835,
B[542],56.601,1.762,
B[543],52.426,0.762,
B[544],53.137,0.739,
B[545],53.934,0.75,
B[546],52.725,0.766,
B[547],53.208,0.785,
B[548],52.364,0.769,
B[549],52.287,1.003,
B[550],56.154,1.366,
B[551],54.938,1.113,
B[552],53.408,0.756,
B[553],53.325,0.736,
B[554],53.706,0.769,
B[555],53.624,0.753,
B[556],52.853,0.714,
B[557],52.806,0.717,
B[558],44.987,2.381,
B[559],55.474,1.424,
B[560],46.722,4.27,
B[561],52.802,0.717,
B[562],53.1,0.731,
B[563],51.832,1.04,
B[564],48.535,1.145,
B[565],56.253,1.437,
B[566],48.822,2.19,
B[567],45.887,2.031,
B[568],51.244,0.966,
B[569],52.239,0.762,
B[570],53.34,0.736,
B[571],50.955,0.949,
B[572],55.869,1.812,
B[573],50.346,3.414,
B[574],51.942,1.034,
B[575],56.253,1.437,
B[576],52.502,0.71,
B[577],50.646,0.946,
B[578],67.611,1.451,
B[579],45.64,2.003,
B[580],45.335,2.355,
B[581],52.627,0.785,
B[582],51.516,0.739,
B[583],45.635,2.045,
B[584],61.38,1.84,
B[585],64.751,1.433,
B[586],51.505,0.813,
B[587],55.609,1.283,
B[588],53.329,0.825,
B[589],53.031,0.829,
B[590],52.821,0.802,
B[591],53.072,0.786,
B[592],53.598,0.812,
B[593],52.522,0.787,
B[594],52.773,0.772,
B[595],53.3,0.795,
B[596],62.279,2.39,
B[597],67.938,2.026,
B[598],56.744,1.498,
B[599],58.614,2.33,
B[600],64.85,2.251,
B[601],51.977,2.298,
B[602],68.542,1.67,
B[603],52.848,0.724,
B[604],52.55,0.71,
B[605],52.885,0.739,
B[606],65.801,1.484,
B[607],52.766,0.804,
B[608],52.66,0.75,
B[609],53.522,0.794,
B[610],53.432,0.759,
B[611],53.028,0.778,
B[612],52.932,0.734,
B[613],51.59,0.733,
B[614],51.304,0.734,
B[615],52.87,0.716,
B[616],52.586,0.823,
B[617],52.521,0.709,
B[618],51.909,0.747,
B[619],53.386,0.742,
B[620],52.527,0.794,
B[621],52.464,0.766,
B[622],52.825,0.802,
B[623],52.763,0.779,
B[624],52.115,0.754,
B[625],59.809,1.867,
B[626],59.516,1.861,
B[627],51.657,0.807,
B[628],51.925,0.76,
B[629],58.374,2.891,
B[630],50.08,1.27,
B[631],51.727,0.771,
B[632],67.851,1.445,
B[633],53.304,0.754,
B[634],55.712,1.317,
B[635],52.824,0.841,
B[636],52.318,0.791,
B[637],48.468,1.22,
B[638],53.061,0.822,
B[639],49.344,1.268,
B[640],54.947,1.109,
B[641],53.629,0.753,
B[642],51.72,0.78,
B[643],51.608,0.745,
B[644],52.018,0.775,
B[645],51.906,0.742,
B[646],56.04,1.417,
B[647],54.719,1.122,
B[648],55.742,1.441,
B[649],54.421,1.117,
B[650],43.1,1.831,
B[651],52.801,0.723,
B[652],52.502,0.71,
B[653],65.375,1.53,
B[654],66.966,2.043,
B[655],66.691,2.059,
B[656],51.513,0.808,
B[657],51.45,0.781,
B[658],51.812,0.811,
B[659],51.749,0.788,
B[660],51.195,0.821,
B[661],51.132,0.794,
B[662],51.494,0.83,
B[663],51.431,0.808,
B[664],51.794,0.834,
B[665],51.731,0.802,
B[666],52.092,0.839,
B[667],52.03,0.811,
B[668],55.339,1.387,
B[669],48.955,1.044,
B[670],53.638,0.753,
B[671],53.34,0.736,
B[672],52.206,0.751,
B[673],50.065,0.977,
B[674],51.955,0.747,
B[675],53.532,0.723,
B[676],56.052,1.315,
B[677],53.164,0.835,
B[678],52.513,0.753,
B[679],53.204,0.74,
B[680],53.928,0.751,
B[681],43.89,1.636,
B[682],59.305,4.194,
B[683],61.229,2.323,
B[684],56.484,1.8,
B[685],52.978,0.783,
B[686],52.42,0.811,
B[687],60.855,3.121,
B[688],60.939,2.316,
B[689],52.539,0.819,
B[690],52.629,0.841,
B[691],52.837,0.839,
B[692],52.928,0.857,
B[693],48.462,1.217,
B[694],49.755,1.033,
B[695],51.774,0.817,
B[696],52.373,0.815,
B[697],43.369,1.841,
B[698],52.316,0.781,
B[699],49.584,1.194,
B[700],51.942,0.757,
B[701],51.628,0.758,
B[702],53.225,0.75,
B[703],52.918,0.853,
B[704],52.23,0.768,
B[705],48.345,1.22,
B[706],52.876,0.73,
B[707],53.69,0.763,
B[708],51.644,0.745,
B[709],51.329,0.739,
B[710],52.926,0.732,
B[711],52.619,0.831,
B[712],51.931,0.754,
B[713],48.048,1.191,
B[714],52.577,0.714,
B[715],53.391,0.744,
B[716],53.212,1.178,
B[717],52.897,1.179,
B[718],54.493,1.156,
B[719],54.186,1.232,
B[720],53.499,1.188,
B[721],49.61,1.494,
B[722],54.144,1.155,
B[723],54.956,1.166,
B[724],52.005,0.775,
B[725],51.691,0.776,
B[726],53.288,0.771,
B[727],52.981,0.87,
B[728],52.293,0.792,
B[729],48.407,1.249,
B[730],52.938,0.747,
B[731],53.752,0.778,
B[732],51.956,0.799,
B[733],51.657,0.807,
B[734],52.498,0.711,
B[735],52.479,0.715,
B[736],57.884,2.901,
B[737],51.907,0.825,
B[738],67.909,1.464,
B[739],67.637,1.454,
B[740],67.966,1.473,
B[741],67.694,1.465,
B[742],51.781,0.806,
B[743],51.682,0.762,
B[744],51.471,0.797,
B[745],51.361,0.75,
B[746],52.09,0.837,
B[747],51.99,0.783,
B[748],48.599,1.029,
B[749],54.603,1.088,
B[750],53.525,0.983,
B[751],53.611,0.78,
B[752],53.295,0.79,
B[753],53.831,0.791,
B[754],53.019,0.871,
B[755],52.885,0.832,
B[756],53.318,0.872,
B[757],53.183,0.835,
B[758],51.987,0.769,
B[759],51.865,0.742,
B[760],51.689,0.762,
B[761],51.566,0.732,
B[762],51.673,0.771,
B[763],51.541,0.751,
B[764],51.374,0.758,
B[765],51.242,0.735,
B[766],52.489,1.119,
B[767],52.313,0.783,
B[768],52.014,0.794,
B[769],52.005,0.773,
B[770],51.706,0.778,
B[771],53.572,0.75,
B[772],53.273,0.757,
B[773],53.208,0.862,
B[774],52.91,0.864,
B[775],52.581,0.786,
B[776],52.282,0.796,
B[777],53.245,0.765,
B[778],52.946,0.774,
B[779],54.048,0.773,
B[780],53.75,0.778,
B[781],52.238,0.753,
B[782],51.94,0.761,
B[783],51.925,0.743,
B[784],51.626,0.744,
B[785],53.487,0.716,
B[786],53.189,0.719,
B[787],53.132,0.84,
B[788],52.833,0.838,
B[789],52.504,0.752,
B[790],52.205,0.758,
B[791],53.166,0.737,
B[792],52.867,0.742,
B[793],53.971,0.747,
B[794],53.672,0.748,
B[795],59.515,1.861,
B[796],51.699,0.793,
B[797],55.9,1.348,
B[798],52.498,0.752,
B[799],52.192,0.757,
B[800],56.906,1.89,
B[801],52.158,0.752,
B[802],52.269,0.784,
B[803],51.859,0.74,
B[804],51.97,0.775,
B[805],52.795,0.724,
B[806],52.915,0.742,
B[807],52.496,0.711,
B[808],52.617,0.732,
B[809],52.785,0.798,
B[810],53.084,0.806,
B[811],52.723,0.767,
B[812],53.021,0.78,
B[813],47.908,1.246,
B[814],48.205,1.268,
B[815],47.846,1.21,
B[816],48.142,1.236,
B[817],53.271,0.804,
B[818],53.569,0.815,
B[819],53.208,0.779,
B[820],53.506,0.794,
B[821],56.553,1.885,
B[822],56.849,1.886,
B[823],56.49,1.871,
B[824],56.787,1.874,
B[825],61.688,3.095,
B[826],51.907,0.746,
B[827],51.608,0.736,
B[828],51.656,0.767,
B[829],51.357,0.748,
B[830],53.179,0.734,
B[831],52.88,0.718,
B[832],52.876,0.842,
B[833],52.577,0.821,
B[834],52.248,0.776,
B[835],51.949,0.762,
B[836],53.028,0.822,
B[837],52.729,0.803,
B[838],53.703,0.767,
B[839],53.404,0.748,
B[840],49.041,0.994,
B[841],49.45,0.992,
B[842],48.757,1.109,
B[843],49.152,1.008,
B[844],48.46,1.114,
B[845],51.883,0.925,
B[846],54.362,0.977,
B[847],64.89,1.419,
B[848],52.209,0.761,
B[849],45.243,2.355,
B[850],52.41,0.799,
B[851],60.802,2.322,
B[852],49.425,2.262,
B[853],52.596,0.774,
B[854],52.297,0.782,
B[855],51.909,0.747,
B[856],51.972,0.776,
B[857],52.623,0.991,
B[858],52.035,1.032,
B[859],52.272,0.968,
B[860],53.11,0.999,
B[861],43.258,1.733,
B[862],48.993,1.355,
B[863],46.296,2.442,
B[864],60.47,1.915,
B[865],51.574,0.732,
B[866],52.564,0.82,
B[867],51.862,0.74,
B[868],51.264,0.733,
B[869],51.491,0.81,
B[870],52.093,0.819,
B[871],51.193,0.795,
B[872],51.794,0.808,
B[873],49.052,1.075,
B[874],53.345,0.764,
B[875],43.52,3.233,
B[876],51.874,0.741,
B[877],51.602,0.735,
B[878],52.549,0.709,
B[879],52.718,0.951,
B[880],51.782,0.757,
B[881],51.472,0.771,
B[882],53.062,0.741,
B[883],52.473,0.83,
B[884],52.07,0.766,
B[885],52.725,0.745,
B[886],53.548,0.767,
B[887],51.483,0.75,
B[888],51.173,0.758,
B[889],52.763,0.728,
B[890],52.473,0.83,
B[891],51.772,0.756,
B[892],52.426,0.734,
B[893],53.249,0.752,
B[894],49.614,3.413,
B[895],46.198,3.249,
B[896],52.232,0.946,
B[897],49.18,0.981,
B[898],43.709,3.231,
B[899],54.537,1.041,
B[900],54.455,0.994,
B[901],54.835,1.054,
B[902],54.753,1.01,
